DebitDate,BankRef,DBAcNo,DBAcType,DBSC,BenName,BenAcNo,BenActype,BenSC,BenRef,Amount,RemAdvReq
09/12/00,1,45454545,00,606060,ACE ELECTRICAL IMPOR,10234567,00,404787,PPY000164/57,2056.25,N
09/12/00,1,45454545,00,606060,THE ADVERTISING AGEN,73832832,00,404787,PPY000165/57,791.95,N
09/12/00,1,45454545,00,606060,PAUL BARKS,18181818,00,404787,PPY000166/57,1762.50,N
09/12/00,1,45454545,00,606060,BRISTOL STREET SAAB,54545454,00,404787,001234567899012,411.25,N
09/12/00,1,45454545,00,606060,CARPET BARN LIMITED,71717171,00,404787,PPY000168/57,3749.30,N
09/12/00,1,45454545,00,606060,COOL AIR COMPANY LTD,10765432,00,404787,PPY000169/57,536.20,N
09/12/00,1,45454545,00,606060,COOPERS BMW,98984567,00,404787,PPY000170/57,940.41,N
09/12/00,1,45454545,00,606060,CORNHILL INSURANCE,74747474,00,404787,PPY000171/57,7557.29,N
09/12/00,1,45454545,00,606060,DEVLIN S HEATING & P,21212121,00,404787,PPY000172/57,87.42,N
09/12/00,1,45454545,00,606060,ELECTRICAL WHOLESALE,33333333,00,404787,PPY000173/57,145.05,N
09/12/00,1,45454545,00,606060,EXENET PLC,81818181,00,404787,PPY000174/57,117.50,N
09/12/00,1,45454545,00,606060,FARNELL LIMITED,83822929,00,292067,PPY000175/57,409.35,N
